	83078511	83078629	Gm24884	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]	ENSMUSG00000089409
limb grasping	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
	83417724	83467676	Snapc3	small nuclear RNA activating complex, polypeptide 3 [Source:MGI Symbol;Acc:MGI:1916338]	ENSMUSG00000028483
	83500499	83500761	Gm11414	predicted gene 11414 [Source:MGI Symbol;Acc:MGI:3650503]	ENSMUSG00000082416
	83505185	83505538	Gm10154	predicted gene 10154 [Source:MGI Symbol;Acc:MGI:3642271]	ENSMUSG00000066116
	83597303	83597765	Gm27046	predicted gene, 27046 [Source:MGI Symbol;Acc:MGI:5504161]	ENSMUSG00000098217
increased IgM level	83525545	83864670	Ccdc171	coiled-coil domain containing 171 [Source:MGI Symbol;Acc:MGI:1922152]	ENSMUSG00000052407
decreased IgD level	83525545	83864670	Ccdc171	coiled-coil domain containing 171 [Source:MGI Symbol;Acc:MGI:1922152]	ENSMUSG00000052407
decreased mature B cell number	83525545	83864670	Ccdc171	coiled-coil domain containing 171 [Source:MGI Symbol;Acc:MGI:1922152]	ENSMUSG00000052407
	83743677	83744157	Gm26968	predicted gene, 26968 [Source:MGI Symbol;Acc:MGI:5504083]	ENSMUSG00000097942
	83701084	83702036	Cbx3-ps3	chromobox 3, pseudogene 3 [Source:MGI Symbol;Acc:MGI:1890540]	ENSMUSG00000080793
	83884738	83888858	Gm11415	predicted gene 11415 [Source:MGI Symbol;Acc:MGI:3650502]	ENSMUSG00000085378
	84042039	84044879	6030471H07Rik	RIKEN cDNA 6030471H07 gene [Source:MGI Symbol;Acc:MGI:1925488]	ENSMUSG00000085217
	84104895	84105902	Gm12416	predicted gene 12416 [Source:MGI Symbol;Acc:MGI:3650588]	ENSMUSG00000083044
	84126350	84130289	Gm12414	predicted gene 12414 [Source:MGI Symbol;Acc:MGI:3650374]	ENSMUSG00000087378
abnormal pterygoid process morphology	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
meteorism	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
parietal bone hypoplasia	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
small alisphenoid bone	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
abnormal fontanelle morphology	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
palatal shelves fail to meet at midline	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
abnormal palate development	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
decreased birth body size	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
neonatal lethality complete penetrance	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
frontal bone hypoplasia	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
cleft secondary palate	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
abnormal maxillary shelf morphology	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
microcephaly	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
decreased tongue size	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
endochondral bone growth	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
abnormal lung-associated mesenchyme development	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
abnormal secondary palate development	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
tongue development	84275095	84675275	Bnc2	basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805]	ENSMUSG00000028487
	84428818	84429124	Gm12421	predicted gene 12421 [Source:MGI Symbol;Acc:MGI:3650591]	ENSMUSG00000083743
	84697863	84698910	Gm12420	predicted gene 12420 [Source:MGI Symbol;Acc:MGI:3652148]	ENSMUSG00000081775
	84741475	84742291	Gm12415	predicted gene 12415 [Source:MGI Symbol;Acc:MGI:3650585]	ENSMUSG00000086413
	84923554	84924189	Gm12419	predicted gene 12419 [Source:MGI Symbol;Acc:MGI:3650581]	ENSMUSG00000080303
	84915896	84916837	Gm12418	predicted gene 12418 [Source:MGI Symbol;Acc:MGI:3650582]	ENSMUSG00000083139
	84884309	85131921	Cntln	centlein, centrosomal protein [Source:MGI Symbol;Acc:MGI:2443104]	ENSMUSG00000038070
	85176527	85176929	Gm12417	predicted gene 12417 [Source:MGI Symbol;Acc:MGI:3650587]	ENSMUSG00000084267
	85514327	85783127	Gm12680	predicted gene 12680 [Source:MGI Symbol;Acc:MGI:3650846]	ENSMUSG00000087349
	85245451	85245762	Gm12413	predicted gene 12413 [Source:MGI Symbol;Acc:MGI:3650373]	ENSMUSG00000081862
decreased bone mineral density	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased bone mineral density	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
hypoactivity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
hypoactivity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased vertical activity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased vertical activity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
short tibia	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
short tibia	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased caudal vertebrae number	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased caudal vertebrae number	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased body length	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased body length	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased lean body mass	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased lean body mass	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal behavior	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal behavior	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal bone structure	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal bone structure	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased bone mineral content	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased bone mineral content	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased grip strength	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased grip strength	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased total body fat amount	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased total body fat amount	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased body length	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal behavior	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
hypoactivity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased caudal vertebrae number	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
short tibia	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased total body fat amount	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased bone mineral density	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased vertical activity	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
abnormal bone structure	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased lean body mass	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
decreased bone mineral content	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
no abnormal phenotype detected	85205126	85639195	Sh3gl2	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	ENSMUSG00000028488
	86053915	86428385	Adamtsl1	ADAMTS-like 1 [Source:MGI Symbol;Acc:MGI:1924989]	ENSMUSG00000066113
	79244587	79244709	Gm25836	predicted gene, 25836 [Source:MGI Symbol;Acc:MGI:5455613]	ENSMUSG00000089543
	75280626	75280755	Gm22864	predicted gene, 22864 [Source:MGI Symbol;Acc:MGI:5452641]	ENSMUSG00000065884
	80967444	80967539	Gm27452	predicted gene, 27452 [Source:MGI Symbol;Acc:MGI:5530834]	ENSMUSG00000099273
	76958422	76958498	Gm23159	predicted gene, 23159 [Source:MGI Symbol;Acc:MGI:5452936]	ENSMUSG00000092829
	83527628	83527768	Gm25899	predicted gene, 25899 [Source:MGI Symbol;Acc:MGI:5455676]	ENSMUSG00000064606
	82439410	82439514	n-R5s188	nuclear encoded rRNA 5S 188 [Source:MGI Symbol;Acc:MGI:4422053]	ENSMUSG00000084595
	85909911	85910187	Gm26069	predicted gene, 26069 [Source:MGI Symbol;Acc:MGI:5455846]	ENSMUSG00000088122
	87432272	87432336	Gm23154	predicted gene, 23154 [Source:MGI Symbol;Acc:MGI:5452931]	ENSMUSG00000093065
	81918513	81918623	n-R5s187	nuclear encoded rRNA 5S 187 [Source:MGI Symbol;Acc:MGI:4422052]	ENSMUSG00000084718
	78670147	78670232	Gm22262	predicted gene, 22262 [Source:MGI Symbol;Acc:MGI:5452039]	ENSMUSG00000089338
	74635219	74635350	Gm26379	predicted gene, 26379 [Source:MGI Symbol;Acc:MGI:5456156]	ENSMUSG00000104700
	86586453	86586583	Scarna8	small Cajal body-specific RNA 8 [Source:MGI Symbol;Acc:MGI:3819488]	ENSMUSG00000088958
	74013442	74202214	Frmd3	FERM domain containing 3 [Source:MGI Symbol;Acc:MGI:2442466]	ENSMUSG00000049122
male infertility	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased food intake	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased susceptibility to hepatic steatosis	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased fat cell size	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased total body fat amount	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal white fat cell morphology	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased circulating free fatty acid level	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased inflammatory response	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal maternal behavior	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased liver triglyceride level	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased circulating leptin level	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased susceptibility to diet-induced obesity	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased body weight	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased subcutaneous adipose tissue amount	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal adipose tissue physiology	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased circulating triglyceride level	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
hyperactivity	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
decreased epididymal fat pad weight	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
chromosomal instability	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
increased chromosomal stability	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
sebaceous gland hypoplasia	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal milk composition	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal sebaceous gland physiology	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
small sebaceous gland	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
delayed dark adaptation	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal eye electrophysiology	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
abnormal vitamin A metabolism	86648386	86670060	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	ENSMUSG00000028494
	86627075	86631251	Gm12551	predicted gene 12551 [Source:MGI Symbol;Acc:MGI:3651664]	ENSMUSG00000081169
	86558446	86559804	Saxo1os	stablizer of axonemal microtubules 1, opposite strand [Source:MGI Symbol;Acc:MGI:1922138]	ENSMUSG00000085108
abnormal autophagy	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
increased sensitivity to induced morbidity/mortality	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
hypoglycemia	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
neonatal lethality complete penetrance	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
abnormal glycogen homeostasis	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
abnormal gluconeogenesis	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
abnormal circulating amino acid level	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
decreased birth weight	86575668	86577285	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	ENSMUSG00000070934
	86578855	86612055	Haus6	HAUS augmin-like complex, subunit 6 [Source:MGI Symbol;Acc:MGI:1923389]	ENSMUSG00000038047
	86442013	86442341	Gm12550	predicted gene 12550 [Source:MGI Symbol;Acc:MGI:3651460]	ENSMUSG00000083272
	86444641	86558328	Saxo1	stablizer of axonemal microtubules 1 [Source:MGI Symbol;Acc:MGI:1923061]	ENSMUSG00000028492
